ts,x,y,z
1700252085506,-0.2861637,0.24618857,0.02327678
1700252085544,-0.2905956,0.2531195,0.037944883
1700252085579,-0.29469344,0.25930238,0.048583448
1700252085608,-0.2977621,0.26342615,0.05940188
1700252085644,-0.30076307,0.2666233,0.06869157
1700252085682,-0.30300686,0.2701781,0.073964916
1700252085709,-0.30617952,0.27201244,0.07920697
1700252085742,-0.3093817,0.27335575,0.08206216
1700252085779,-0.31313944,0.27461493,0.08153367
1700252085810,-0.3157066,0.27605408,0.08202639
1700252085846,-0.31724676,0.2773617,0.07982026
1700252085875,-0.31859374,0.27713907,0.07292853
1700252085909,-0.31888604,0.27710757,0.065794654
1700252085940,-0.31898904,0.2762791,0.05625385
1700252085974,-0.31875616,0.273187,0.04249188
1700252086001,-0.3179885,0.26886985,0.025631286
1700252086041,-0.31817865,0.26199883,0.0060421564
1700252086075,-0.31837898,0.25523758,-0.013277772
1700252086107,-0.3192976,0.24724789,-0.033712972
1700252086144,-0.32062894,0.23796585,-0.056503944
1700252086180,-0.32227632,0.22724658,-0.083970204
1700252086209,-0.3216299,0.21546842,-0.11125596
1700252086245,-0.3207498,0.20229863,-0.14058022
1700252086279,-0.32055432,0.18761782,-0.16885392
1700252086309,-0.32068998,0.17215502,-0.2004096
1700252086343,-0.3208665,0.15583089,-0.23153114
1700252086378,-0.3215643,0.1390436,-0.25658777
1700252086411,-0.3234616,0.12240085,-0.28357714
1700252086447,-0.3266693,0.10571266,-0.3090376
1700252086475,-0.3299171,0.090715334,-0.3319392
1700252086508,-0.33299145,0.07636453,-0.35159683
1700252086545,-0.33521494,0.063214414,-0.36838925
1700252086577,-0.3367113,0.051495694,-0.38337862
1700252086613,-0.33842182,0.042491697,-0.3958167
1700252086646,-0.34059596,0.035650294,-0.406133
1700252086679,-0.34435603,0.031146904,-0.41531536
1700252086709,-0.34799105,0.02935414,-0.4231619
1700252086747,-0.35214674,0.029065331,-0.42973337
1700252086778,-0.35568875,0.027828446,-0.4351393
1700252086812,-0.35822365,0.024619991,-0.43917838
1700252086846,-0.3600822,0.019608691,-0.4411056
1700252086874,-0.3616972,0.014859404,-0.4412564
1700252086914,-0.36254653,0.010817962,-0.44064233
1700252086941,-0.3624963,0.00861568,-0.43905553
1700252086966,-0.36245996,0.0076226597,-0.4381262
1700252087002,-0.36265594,0.0072514126,-0.43902925
1700252087032,-0.3628305,0.0059081465,-0.44161195
1700252087073,-0.36258656,0.0033663046,-0.4448747
1700252087110,-0.36288002,0.0014234651,-0.44619846
1700252087141,-0.3624737,5.4194126E-5,-0.44758523
1700252087176,-0.3623426,-9.745215E-4,-0.44895482
1700252087211,-0.3629664,-0.0021178783,-0.4497558
1700252087247,-0.363497,-0.0038050408,-0.45037225
1700252087276,-0.3646796,-0.0034878126,-0.44805261
1700252087313,-0.3653684,-0.004968983,-0.44861796
1700252087346,-0.36518568,-0.006304167,-0.44887415
1700252087376,-0.36467528,-0.00722724,-0.449198
1700252087411,-0.363466,-0.007729413,-0.44943953
1700252087445,-0.36262816,-0.008045001,-0.44943747
1700252087480,-0.36264393,-0.0077877566,-0.44991118
1700252087511,-0.36244458,-0.007971105,-0.45059073
1700252087549,-0.3622799,-0.008200496,-0.45073465
1700252087577,-0.36241484,-0.006808564,-0.4501832
1700252087611,-0.3630187,-0.006998854,-0.4507879
1700252087646,-0.3630101,-0.007251746,-0.45164326
1700252087678,-0.3632346,-0.0069481116,-0.45329776
1700252087710,-0.36321393,-0.00709421,-0.4534566
1700252087746,-0.36330247,-0.007319845,-0.45378044
1700252087776,-0.36369333,-0.00471914,-0.46032137
1700252087811,-0.36370417,-0.0048082904,-0.46083695
1700252087845,-0.36393943,-0.004392067,-0.46014586
1700252087876,-0.3640697,-0.0044957767,-0.46064168
1700252087912,-0.36429843,-0.004541995,-0.46100035
1700252087946,-0.36411968,-0.004659916,-0.4612128
1700252087977,-0.36411074,-0.0043811304,-0.46091825
1700252088014,-0.3637854,-0.0044946466,-0.46174204
1700252088044,-0.36382544,-0.004436516,-0.46234614
1700252088080,-0.36362967,-0.0045388155,-0.46291563
1700252088098,-0.36355495,-0.004576876,-0.46322298
1700252088142,-0.3635786,-0.004380114,-0.46290022
1700252088180,-0.36355463,-0.0044560493,-0.46309617
1700252088211,-0.3635616,-0.004498479,-0.4633194
1700252088246,-0.36358708,-0.004620059,-0.463724
1700252088279,-0.3640922,-0.0046286285,-0.4646894
1700252088311,-0.36418176,-0.004774243,-0.46573627
1700252088344,-0.36414072,-0.0049762777,-0.46678713
1700252088376,-0.36425084,-0.005353248,-0.46917605
1700252088411,-0.364333,-0.005508874,-0.47018722
1700252088448,-0.36433157,-0.0056889886,-0.470944
1700252088479,-0.36415106,-0.0060441694,-0.47280204
1700252088513,-0.3639442,-0.0060829194,-0.4729578
1700252088545,-0.36360735,-0.0061407844,-0.47284204
1700252088578,-0.3634057,-0.0060481117,-0.47329757
1700252088612,-0.36341295,-0.0061493567,-0.47388524
1700252088644,-0.36335546,-0.0063228123,-0.47451296
1700252088678,-0.3633634,-0.0066006286,-0.4762471
